"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2025","117,535.6","115,994.0","118,848.4","115,261.9","89.27K","1.33%"
"07/10/2025","115,993.6","111,246.1","116,626.3","110,631.9","82.26K","4.27%"
"07/09/2025","111,246.0","108,913.1","111,915.7","108,329.9","56.81K","2.14%"
"07/08/2025","108,913.1","108,267.6","109,208.3","107,474.2","32.36K","0.59%"
"07/07/2025","108,269.6","109,207.0","109,686.8","107,526.5","35.34K","-0.86%"
"07/06/2025","109,207.0","108,204.7","109,701.8","107,818.8","21.94K","0.93%"
"07/05/2025","108,204.7","107,989.6","108,357.5","107,797.8","14.93K","0.20%"
"07/04/2025","107,989.6","109,600.8","109,723.7","107,268.2","40.92K","-1.47%"
"07/03/2025","109,600.5","108,846.7","110,506.8","108,550.8","45.39K","0.70%"
"07/02/2025","108,843.7","105,694.0","109,727.8","105,163.5","62.51K","2.98%"
"07/01/2025","105,694.3","107,176.4","107,532.3","105,289.4","40.28K","-1.38%"
"06/30/2025","107,171.1","108,362.3","108,777.0","106,743.1","37.46K","-1.10%"
"06/29/2025","108,361.1","107,304.3","108,470.5","107,188.4","25.96K","0.98%"
"06/28/2025","107,304.4","107,048.2","107,542.3","106,822.0","14.26K","0.24%"
"06/27/2025","107,044.2","106,948.0","107,726.5","106,414.1","46.24K","0.09%"
"06/26/2025","106,945.9","107,350.6","108,261.2","106,650.0","38.70K","-0.38%"
"06/25/2025","107,349.4","106,086.0","108,128.0","105,828.2","58.14K","1.20%"
"06/24/2025","106,078.6","105,376.9","106,268.7","104,642.9","52.81K","0.67%"
"06/23/2025","105,376.9","100,782.5","106,032.7","99,696.9","83.16K","4.34%"
"06/22/2025","100,990.4","102,114.5","103,300.4","98,249.2","81.37K","-1.10%"
"06/21/2025","102,113.2","103,287.2","103,989.3","100,947.8","37.52K","-1.13%"
"06/20/2025","103,280.5","104,669.6","106,520.3","102,396.8","51.48K","-1.33%"
