Date,Open,High,Low,Close,Volume,Market Cap
2020-10-14,11531.36029,11542.29384,11324.19713,11423.48002,27767799954.0,212000000000.0
2020-10-15,11422.0242,11544.5787,11292.51189,11426.36748,22671063127.0,211000000000.0
2020-10-16,11417.10546,11573.55366,11291.76508,11492.6159,23046051336.0,211000000000.0
2020-10-17,11498.95004,11539.22069,11234.81902,11312.66278,25895236933.0,210000000000.0
2020-10-18,11316.37441,11386.51967,11278.31155,11368.48474,18609745832.0,210000000000.0
2020-10-19,11358.12796,11490.01581,11349.94171,11490.01581,15237087835.0,212000000000.0
2020-10-20,11500.03238,11799.99117,11420.51617,11748.37678,18200393176.0,214000000000.0
2020-10-21,11751.37387,12004.20824,11696.28936,11910.24211,26904815395.0,219000000000.0
2020-10-22,11908.74144,13190.0937,11891.81135,12808.79595,38524738668.0,230000000000.0
2020-10-23,12799.953,13162.64828,12698.49931,12958.53719,44415617058.0,239000000000.0
2020-10-24,12964.75729,13014.06317,12740.00614,12929.02218,32656688932.0,239000000000.0
2020-10-25,12929.78161,13139.41763,12869.96461,13117.17473,22616597578.0,241000000000.0
2020-10-26,13115.29406,13327.97549,12915.83217,13020.81172,23616907117.0,242000000000.0
2020-10-27,13022.01562,13215.24631,12821.64582,13065.53603,23955461477.0,242000000000.0
2020-10-28,13057.48933,13775.68165,13057.48933,13651.54051,32537705771.0,247000000000.0
2020-10-29,13639.74615,13837.30674,12960.02599,13275.48126,40460863642.0,249000000000.0
2020-10-30,13276.34922,13629.99196,12987.72994,13443.53152,35824326415.0,247000000000.0
2020-10-31,13456.60931,13661.9601,13151.41623,13568.83725,35824994060.0,249000000000.0
2020-11-01,13554.96043,13984.74925,13431.71761,13795.52655,32985934325.0,254000000000.0
2020-11-02,13794.54858,13881.86907,13629.06393,13735.00686,27500088065.0,255000000000.0
2020-11-03,13760.88884,13826.96149,13269.50531,13576.96848,28341039633.0,252000000000.0
2020-11-04,13556.44665,14034.32113,13304.12232,13973.24888,31957453140.0,252000000000.0
2020-11-05,14017.05139,14212.51163,13589.96915,14132.96094,36787608743.0,257000000000.0
2020-11-06,14140.35454,15710.75621,14100.78024,15558.52541,45894350398.0,273000000000.0
2020-11-07,15589.384,15922.32559,15204.98793,15547.05255,64505570472.0,288000000000.0
2020-11-08,15568.61662,15741.75486,14448.63073,14821.98325,43966023320.0,284000000000.0
2020-11-09,14815.05132,15613.43327,14748.25694,15499.08129,44191246290.0,281000000000.0
2020-11-10,15478.31316,15798.201,14836.54357,15326.15685,39301152286.0,285000000000.0
2020-11-11,15313.69455,15429.00597,15104.41498,15280.16349,42038978766.0,284000000000.0
2020-11-12,15297.95997,15949.5044,15282.01182,15687.48025,34076621282.0,289000000000.0
2020-11-13,15691.60903,16299.94364,15492.64133,16279.27054,42629399359.0,295000000000.0
